Jahr;Jahr segment;Monat;;Sonnenflecken
1749;1.749.538;7;; 135.9
1749;1.749.623;8;; 137.9
1749;1.749.707;9;; 140.2
1749;1.749.790;10;; 143.8
1749;1.749.874;11;; 146.4
1749;1.749.958;12;; 147.9
1750;1.750.042;1;; 148.4
1750;1.750.123;2;; 150.3
1750;1.750.204;3;; 153.9
1750;1.750.288;4;; 154.3
1750;1.750.371;5;; 147.0
1750;1.750.455;6;; 139.7
1750;1.750.538;7;; 138.8
1750;1.750.623;8;; 136.3
1750;1.750.707;9;; 131.0
1750;1.750.790;10;; 125.7
1750;1.750.874;11;; 121.5
1750;1.750.958;12;; 116.0
1751;1.751.042;1;; 111.3
1751;1.751.123;2;; 106.9
1751;1.751.204;3;;  99.2
1751;1.751.288;4;;  91.6
1751;1.751.371;5;;  86.2
1751;1.751.455;6;;  81.6
1751;1.751.538;7;;  77.0
1751;1.751.623;8;;  75.0
1751;1.751.707;9;;  77.3
1751;1.751.790;10;;  79.2
1751;1.751.874;11;;  79.4
1751;1.751.958;12;;  78.5
1752;1.752.042;1;;  78.6
1752;1.752.124;2;;  77.3
1752;1.752.206;3;;  75.5
1752;1.752.290;4;;  77.3
1752;1.752.373;5;;  79.6
1752;1.752.456;6;;  79.9
1752;1.752.540;7;;  80.3
1752;1.752.624;8;;  79.7
1752;1.752.708;9;;  76.7
1752;1.752.791;10;;  73.4
1752;1.752.874;11;;  70.3
1752;1.752.958;12;;  68.1
1753;1.753.042;1;;  63.6
1753;1.753.123;2;;  60.4
1753;1.753.204;3;;  61.1
1753;1.753.288;4;;  59.7
1753;1.753.371;5;;  57.0
1753;1.753.455;6;;  53.4
1753;1.753.538;7;;  48.1
1753;1.753.623;8;;  43.0
1753;1.753.707;9;;  37.9
1753;1.753.790;10;;  33.2
1753;1.753.874;11;;  30.4
1753;1.753.958;12;;  29.0
1754;1.754.042;1;;  28.5
1754;1.754.123;2;;  26.4
1754;1.754.204;3;;  23.2
1754;1.754.288;4;;  21.7
1754;1.754.371;5;;  21.2
1754;1.754.455;6;;  20.5
1754;1.754.538;7;;  21.1
1754;1.754.623;8;;  22.3
1754;1.754.707;9;;  23.3
1754;1.754.790;10;;  23.1
1754;1.754.874;11;;  21.2
1754;1.754.958;12;;  17.9
1755;1.755.042;1;;  15.3
1755;1.755.123;2;;  14.0
1755;1.755.204;3;;  14.0
1755;1.755.288;4;;  14.7
1755;1.755.371;5;;  14.2
1755;1.755.455;6;;  14.8
1755;1.755.538;7;;  16.1
1755;1.755.623;8;;  16.0
1755;1.755.707;9;;  15.6
1755;1.755.790;10;;  15.7
1755;1.755.874;11;;  16.8
